model	sex	age	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
5xFAD	female	4 mo	CC	GO:1990351	transporter complex	12	-0.8927335640138409	-3.2399924231564365	2.5815010529353516e-10	2.0213153244483804e-7	1.8994413010545377e-7	75	tags=100%, list=13%, signal=89%	Atp11b/Kcnq3/Kcna2/COX1/Gria4/ND4/Kcnab1/CYTB/Scn4b/ND1/ND2
5xFAD	female	4 mo	BP	GO:0002376	immune system process	251	0.5856823212133266	1.586437234199311	1.792821462526493e-10	2.0213153244483804e-7	1.8994413010545377e-7	280	tags=69%, list=47%, signal=63%	Cst7/Mmp12/Clec7a/Pdcd1/Tnfsf8/Ctse/Ccl3/Ccl4/Ccl6/Treml2/Ly9/Trim30b/Cd22/Psen1/Lilrb4a/Osm/Fgr/H2-Oa/Oas3/Cd48/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Arl11/Thy1/Lag3/Cd68/Cybb/Zbp1/H2-Ob/Rasal3/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Cd14/Cnr2/Ptpn6/Fcgr2b/Csf3r/Ctss/C4b/C1qb/Lat2/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Irag2/Laptm5/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Naip6/Samsn1/Naip2/Fcgr3/Ifi44/Runx1/C5ar1/Bst2/Cd300c2/H2-Q7/Wdfy4/Tlr13/Hcls1/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Dock2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Csf2rb/Ncf1/Apbb1ip/H2-Q6/Irf7/Rac2/H2-DMb1/Grn/Nckap1l/Psmb8/Alox5/Lox/Was/Cd9/Pik3ap1/Hhex/Pld4/Csf1r/Trim30a/Pik3cg/Ang/Dock8/B2m/Cd74/Cebpa/Il1rl2/Ikzf1/Il21r/Lcp2/Clec5a/Selplg/Elf4/Aif1/Gpr183/Top2a/Fes/Fyb/Cxcl16/H2-Q4/Gpnmb/Rigi/Irf5/C3/Hck/Ctsh/H2-Ab1/Tgfb1/Unc93b1/Inpp5d/Vsir/Anxa3/Lgals9/Parp14/Tnfaip8l2/Itgam/Rnf213/Ifitm3/Igtp/Tgfbr2/Ctsc/Cx3cr1/Tgfbr1/Tmem176a/Apobec3/Mafb/H2-K1/Gsdmd/Cd274/Adgre1/Cmklr1/Blnk
5xFAD	female	4 mo	CC	GO:1902495	transmembrane transporter complex	11	-0.8911917098445595	-3.1100128796713586	1.2686021150743978e-9	6.622103040688357e-7	6.222827217101783e-7	75	tags=100%, list=13%, signal=89%	Kcnq3/Kcna2/COX1/Gria4/ND4/Kcnab1/CYTB/Scn4b/ND1/ND2
5xFAD	female	4 mo	BP	GO:0006955	immune response	194	0.5871244542736413	1.5817101384888628	2.957569348079489e-9	1.15788839977312e-6	1.0880741970039803e-6	249	tags=68%, list=42%, signal=58%	Cst7/Mmp12/Clec7a/Pdcd1/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Trim30b/Cd22/Psen1/Lilrb4a/Osm/Fgr/H2-Oa/Oas3/Cd48/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Thy1/Lag3/Cd68/Cybb/Zbp1/H2-Ob/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Cd14/Ptpn6/Fcgr2b/Ctss/C4b/C1qb/Lat2/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Laptm5/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Naip6/Samsn1/Naip2/Fcgr3/Ifi44/C5ar1/Bst2/H2-Q7/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Dock2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Csf2rb/Ncf1/Apbb1ip/H2-Q6/Irf7/Rac2/H2-DMb1/Grn/Nckap1l/Alox5/Was/Pik3ap1/Pld4/Csf1r/Trim30a/Ang/B2m/Cd74/Il1rl2/Il21r/Lcp2/Clec5a/Elf4/Gpr183/Fes/Fyb/Cxcl16/H2-Q4/Rigi/Irf5/C3/Hck/Ctsh/H2-Ab1/Tgfb1/Unc93b1/Inpp5d/Vsir/Anxa3/Lgals9
5xFAD	female	4 mo	BP	GO:0043207	response to external biotic stimulus	159	0.5933091045582983	1.59205694378119	7.168505080965475e-9	1.8709798261319892e-6	1.7581701935420587e-6	171	tags=53%, list=29%, signal=52%	Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Rgs1/Trim30b/Cd52/Lilrb4a/Fgr/Oas3/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Lyz2/Ifi27l2a/Cd68/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/Cd84/Tlr2/Cd14/Cnr2/Ptpn6/Fcgr2b/C1qb/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Ifi44/C5ar1/Bst2/H2-Q7/Serpina3n/Wdfy4/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Ncf2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1
5xFAD	female	4 mo	BP	GO:0051707	response to other organism	159	0.5933091045582983	1.59205694378119	7.168505080965475e-9	1.8709798261319892e-6	1.7581701935420587e-6	171	tags=53%, list=29%, signal=52%	Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Rgs1/Trim30b/Cd52/Lilrb4a/Fgr/Oas3/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Lyz2/Ifi27l2a/Cd68/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/Cd84/Tlr2/Cd14/Cnr2/Ptpn6/Fcgr2b/C1qb/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Ifi44/C5ar1/Bst2/H2-Q7/Serpina3n/Wdfy4/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Ncf2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1
5xFAD	female	4 mo	BP	GO:0009607	response to biotic stimulus	162	0.5975029240690608	1.6041002095161516	1.1430765646395586e-8	2.237572375281936e-6	2.1026592596922406e-6	171	tags=54%, list=29%, signal=53%	Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Rgs1/Trim30b/Cd52/Lilrb4a/Fgr/Oas3/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Lyz2/Ifi27l2a/Cd68/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/Cd84/Tlr2/Cd14/Cnr2/Ptpn6/Fcgr2b/Abi3/C1qb/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Laptm5/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Ifi44/C5ar1/Bst2/H2-Q7/Serpina3n/Wdfy4/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Ncf2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1
5xFAD	female	4 mo	BP	GO:0044419	biological process involved in interspecies interaction between organisms	166	0.5909983485918944	1.5894063462419898	1.1430765646395586e-8	2.237572375281936e-6	2.1026592596922406e-6	171	tags=52%, list=29%, signal=52%	Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Rgs1/Trim30b/Cd52/Lilrb4a/Fgr/Oas3/Cd180/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Lyz2/Ifi27l2a/Cd68/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/Cd84/Tlr2/Cd14/Cnr2/Ptpn6/Fcgr2b/C1qb/Fcer1g/C1qc/C1qa/Klhl6/Cd37/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Ifi44/C5ar1/Bst2/Spint1/H2-Q7/Serpina3n/Wdfy4/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Siglec1/Ncf2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1
5xFAD	female	4 mo	BP	GO:0006952	defense response	191	0.5650924752009949	1.5233352217617149	9.595353334511622e-8	1.669591480205022e-5	1.5689244399587423e-5	209	tags=55%, list=35%, signal=53%	Cst7/Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Trim30b/Psen1/Lilrb4a/Osm/Fgr/Gm5431/Oas3/Cd180/Serpinf2/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/F830016B08Rik/Lag3/Lyz2/Cd68/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Cd14/Cnr2/Ptpn6/Fcgr2b/Abi3/Ctss/C1qb/Fcer1g/C1qc/C1qa/Cd37/Laptm5/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Fcgr3/C5ar1/Bst2/H2-Q7/Serpina3n/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1/Irf7/Grn/Alox5/Was/Pik3ap1/Pld4/Lsp1/Csf1r/Trim30a/Pik3cg/Ang/B2m/Cd74/Cebpa/Apobec1/Il1rl2
5xFAD	female	4 mo	BP	GO:0009605	response to external stimulus	215	0.5642991258727026	1.523104144341637	1.3173212308268426e-7	2.0629250474748356e-5	1.9385421902062377e-5	209	tags=54%, list=35%, signal=55%	Cst7/Itgax/Mmp12/Clec7a/Tnfsf8/Ccl3/Ccl4/Ccl6/Ly9/Rgs1/Trim30b/Cd52/Lilrb4a/Osm/Fgr/Oas3/Cd180/Serpinf2/Trem2/Slamf9/Tyrobp/Ifi206/Slc15a3/Ifi204/Mpeg1/Slamf8/App/Ch25h/Ly86/Ifi209/Slc11a1/Irf8/Lag3/Lyz2/Ifi27l2a/Cd68/Cybb/Zbp1/Oas1a/Myo1f/Ifi207/C3ar1/Cd84/Tlr2/Itgb2/Cd14/Cnr2/Ptpn6/Fcgr2b/Csf3r/Ctss/C1qb/Fcer1g/C1qc/Plaur/C1qa/Klhl6/Cd37/Casp4/Ptprc/Ccl9/Trim30d/Vav1/Nlrc5/Oas2/Mx1/Slfn9/Naip6/Naip2/Plau/Fcgr3/Ifi44/C5ar1/Bst2/H2-Q7/Serpina3n/Wdfy4/Tlr13/Capg/Tlr1/Havcr2/Cyba/Tlr7/Cd86/Ticam2/Sp110/Dock2/Ncf2/Naip5/Nlrp3/Fcgr1/Rab7b/Spi1/Btk/Rtp4/Ncf1/Irf7/Rac2/Grn/Nckap1l/Alox5/Lox/Was/Cd9/Pik3ap1/Pld4/Lsp1/Csf1r/Trim30a/Pik3cg/Ang/B2m/Cd74/Cebpa/Apobec1/Il1rl2
