model	sex	age	dir	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
5xFAD	male	4 mo	ora_up	BP	GO:0001819	positive regulation of cytokine production	26/84	491/19457	1.3270442835509354e-21	2.8650886081864697e-18	1.7880175609949447e-18	Clec7a/Ccl3/Ly9/Psen1/App/Tyrobp/Slc11a1/Cd14/Trem2/C3ar1/Tlr2/Cd84/Irf8/Cyba/Fcer1g/Fcgr3/Irf5/Laptm5/Ptprc/Lgals9/Eif2ak2/Lpl/B2m/Stat1/Akap12/Csf1r	26
5xFAD	male	4 mo	ora_up	BP	GO:0032640	tumor necrosis factor production	18/84	187/19457	1.1672080984898044e-19	1.123190532082184e-16	7.009501870091884e-17	Clec7a/Ccl3/Psen1/App/Slamf9/Tyrobp/Cd14/Trem2/Tlr2/Cd84/Cyba/Fcer1g/Fcgr3/Ptprc/Lgals9/Lpl/Vsir/Akap12	18
5xFAD	male	4 mo	ora_up	BP	GO:0071706	tumor necrosis factor superfamily cytokine production	18/84	190/19457	1.560709400762646e-19	1.123190532082184e-16	7.009501870091884e-17	Clec7a/Ccl3/Psen1/App/Slamf9/Tyrobp/Cd14/Trem2/Tlr2/Cd84/Cyba/Fcer1g/Fcgr3/Ptprc/Lgals9/Lpl/Vsir/Akap12	18
5xFAD	male	4 mo	ora_up	BP	GO:0032760	positive regulation of tumor necrosis factor production	15/84	108/19457	5.765112957339312e-19	3.111719718723894e-16	1.9419327856300842e-16	Clec7a/Ccl3/Psen1/App/Tyrobp/Cd14/Tlr2/Cd84/Cyba/Fcer1g/Fcgr3/Ptprc/Lgals9/Lpl/Akap12	15
5xFAD	male	4 mo	ora_up	BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	15/84	110/19457	7.689024165747308e-19	3.3201206347696875e-16	2.0719896699276955e-16	Clec7a/Ccl3/Psen1/App/Tyrobp/Cd14/Tlr2/Cd84/Cyba/Fcer1g/Fcgr3/Ptprc/Lgals9/Lpl/Akap12	15
5xFAD	male	4 mo	ora_up	BP	GO:0032680	regulation of tumor necrosis factor production	17/84	180/19457	1.843225616894813e-18	6.632540178126503e-16	4.139173315132212e-16	Clec7a/Ccl3/Psen1/App/Tyrobp/Cd14/Trem2/Tlr2/Cd84/Cyba/Fcer1g/Fcgr3/Ptprc/Lgals9/Lpl/Vsir/Akap12	17
5xFAD	male	4 mo	ora_up	BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	17/84	183/19457	2.449452140081562e-18	7.554810243480132e-16	4.7147349463224045e-16	Clec7a/Ccl3/Psen1/App/Tyrobp/Cd14/Trem2/Tlr2/Cd84/Cyba/Fcer1g/Fcgr3/Ptprc/Lgals9/Lpl/Vsir/Akap12	17
5xFAD	male	4 mo	ora_up	BP	GO:0050900	leukocyte migration	19/84	374/19457	1.655184752876589e-15	4.4669298518256945e-13	2.7876795837921496e-13	Ccl3/Ccl6/Cxcl10/App/Thy1/Slamf9/Ccl9/Trem2/C3ar1/Tlr2/Itgb2/Fcer1g/Fcgr3/Lgals9/Csf3r/Selplg/Nckap1l/Cd9/Csf1r	19
5xFAD	male	4 mo	ora_up	BP	GO:0032103	positive regulation of response to external stimulus	20/84	446/19457	2.92556647645896e-15	7.018108914083217e-13	4.3797954267455777e-13	Clec7a/Ccl3/Cxcl10/App/Cd180/Tyrobp/Trem2/C3ar1/Ly86/Lag3/Tlr2/Ctss/Cyba/Fcer1g/Fcgr3/Lgals9/Lpl/Grn/Nckap1l/Csf1r	20
5xFAD	male	4 mo	ora_up	BP	GO:0002263	cell activation involved in immune response	17/84	285/19457	4.3220215335346574e-15	9.20228666455041e-13	5.742876541588222e-13	Ly9/Psen1/App/Cd180/Tyrobp/Slc11a1/Trem2/Cd84/Irf8/Itgb2/Fcer1g/Ptprc/Lgals9/Dock2/Grn/Nckap1l/Lcp1	17
