Study	Tissue	ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MAYO	CBE	BP	GO:0006954	inflammatory response	161	0.5548460464962854	3.3571212339542957	1e-10	8.134615384615385e-9	5.793522267206478e-9	1021	tags=53%, list=19%, signal=44%	S100A9/S100A8/CD163/FPR1/SERPINA1/LYZ/SOCS3/CERS6/ALOX5AP/HGF/CCL2/ADORA2A/CHI3L1/CXCL1/TLR7/PTPRC/C3AR1/PTGS2/CASP12/SERPINE1/GPR4/CCR1/HRH1/TLR1/ITGB2/SPP1/PIK3AP1/S1PR3/C1QA/TLR6/CMKLR1/TAC1/CYBB/SIGLEC1/FOLR2/PLD4/KLF4/SEMA7A/BIRC3/ALOX5/AFAP1L2/PTGES/STAB1/IL4R/TLR5/OSMR/RORA/VAMP8/NFKBIA/CEBPB/CHST2/SPHK1/CTSC/TLR4/CYBA/SLAMF8/LY96/EPHA2/BCL6B/ADCY7/ITGAM/F12/TNIP2/PTAFR/FOXF1/RELB/FGR/NFAM1/P2RX7/F2R/ETS1/SETD6/ACKR1/GPSM3/KPNA6/CAMK4/NR1D2/TGFB1/HSPG2/RHBDF2/PIK3CD/REL/KLRG1/BIRC2/PNMA1
MAYO	CBE	MF	GO:0004888	transmembrane signaling receptor activity	144	0.5545973173744572	3.2932504856986675	1e-10	8.134615384615385e-9	5.793522267206478e-9	786	tags=55%, list=14%, signal=48%	FCGR3B/MRC1/FPR1/LYVE1/GLRA1/ADORA2A/GLP2R/TLR7/PTPRC/OPRK1/C3AR1/TNFRSF10A/ICAM1/ADGRG6/FCER1G/GPR4/CCR1/THBD/GPR22/HRH1/TLR1/CSF2RB/ITGB2/FCGR2A/S1PR3/TACR2/TLR6/TNFRSF10D/TGFBR2/GABRE/PECAM1/CMKLR1/MET/IL15RA/ADRA1D/RET/GPR34/HTR1A/FAS/IL4R/ADGRV1/HTR5A/EPHB4/TLR5/OSMR/GPR6/CELSR1/LILRB3/GABRB1/SPN/ADGRL4/HRH2/SSTR2/CSF3R/FLT1/SPHK1/TLR4/EPHA6/EPHA5/RAMP3/EPHA2/CLEC1A/NPR1/ADRB2/PTAFR/CD300A/NFAM1/P2RX7/F2R/ADGRD1/GPR179/SSTR1/GRIN2A/MYOT/BMPR2/ADGRF5/GLRA2/ACKR1/CD160
MAYO	CBE	MF	GO:0038023	signaling receptor activity	185	0.5264588401811368	3.2624534571363752	1e-10	8.134615384615385e-9	5.793522267206478e-9	786	tags=50%, list=14%, signal=45%	FCGR3B/MRC1/FPR1/LYVE1/GLRA1/ADORA2A/GLP2R/CD93/TLR7/PTPRC/OPRK1/C3AR1/TNFRSF10A/ICAM1/ADGRG6/FCER1G/GPR4/CCR1/THBD/GPR22/HRH1/TLR1/CSF2RB/ITGB2/FCGR2A/S1PR3/TACR2/TLR6/TNFRSF10D/TGFBR2/GABRE/PECAM1/CMKLR1/FOLR2/CD86/MET/SLC1A5/IL15RA/ADRA1D/RET/GPR34/HTR1A/FAS/NKX3-1/IL4R/ADGRV1/HTR5A/EPHB4/TLR5/OSMR/GPR6/CELSR1/LILRB3/RORA/GABRB1/SPN/ADGRL4/HRH2/JMJD6/PVRIG/SSTR2/CSF3R/TRIM5/FLT1/SPHK1/ANPEP/TLR4/PEAR1/EPHA6/SLAMF8/LY96/EPHA5/RAMP3/EPHA2/CLEC1A/NPR1/ADRB2/PTAFR/CD300A/NFAM1/P2RX7/F2R/ADGRD1/GPR179/SSTR1/GRIN2A/MYOT/BMPR2/ADGRF5/GLRA2/GPC4/ACKR1/CD160
MAYO	CBE	MF	GO:0060089	molecular transducer activity	185	0.5264588401811368	3.2624534571363752	1e-10	8.134615384615385e-9	5.793522267206478e-9	786	tags=50%, list=14%, signal=45%	FCGR3B/MRC1/FPR1/LYVE1/GLRA1/ADORA2A/GLP2R/CD93/TLR7/PTPRC/OPRK1/C3AR1/TNFRSF10A/ICAM1/ADGRG6/FCER1G/GPR4/CCR1/THBD/GPR22/HRH1/TLR1/CSF2RB/ITGB2/FCGR2A/S1PR3/TACR2/TLR6/TNFRSF10D/TGFBR2/GABRE/PECAM1/CMKLR1/FOLR2/CD86/MET/SLC1A5/IL15RA/ADRA1D/RET/GPR34/HTR1A/FAS/NKX3-1/IL4R/ADGRV1/HTR5A/EPHB4/TLR5/OSMR/GPR6/CELSR1/LILRB3/RORA/GABRB1/SPN/ADGRL4/HRH2/JMJD6/PVRIG/SSTR2/CSF3R/TRIM5/FLT1/SPHK1/ANPEP/TLR4/PEAR1/EPHA6/SLAMF8/LY96/EPHA5/RAMP3/EPHA2/CLEC1A/NPR1/ADRB2/PTAFR/CD300A/NFAM1/P2RX7/F2R/ADGRD1/GPR179/SSTR1/GRIN2A/MYOT/BMPR2/ADGRF5/GLRA2/GPC4/ACKR1/CD160
MAYO	CBE	BP	GO:0006955	immune response	363	0.4723565044264024	3.2061757232438013	1e-10	8.134615384615385e-9	5.793522267206478e-9	1063	tags=44%, list=19%, signal=38%	S100A9/FCGR3B/S100A8/MRC1/FPR1/LYZ/HSP90AA1/CCL2/GEM/HSPA1A/C7/CXCL1/NCF2/TLR7/RAC2/PTPRC/C1QB/OPRK1/C3AR1/LCP1/FOXJ1/MID2/VSIG4/IFITM2/ICAM1/C1QC/IFITM1/FCER1G/CCR1/NFIL3/PLA2G4A/STYK1/TLR1/CSF2RB/ITGB2/MNDA/FCGR2A/PIK3AP1/KLHL6/SAMSN1/C1QA/TLR6/COCH/BST2/CMKLR1/CYBB/MPEG1/RNF19B/PLCL2/PLD4/CD84/CD86/PANX1/CTSS/SEMA7A/BIRC3/ALOX5/TRIM32/FAS/CFI/SASH3/IL4R/TLR5/LILRB3/RORA/TGFB2/SPN/HRH2/VAMP8/PIK3CA/PVRIG/AQP4/NFKBIA/TP53BP1/TRIM5/CFH/CEBPB/DOCK2/IFITM3/CTSC/TLR4/CYBA/BCL3/PNP/SLAMF8/LY96/SMAD6/LAPTM5/DUSP3/BCL6B/ADCY7/DOCK11/PIK3R5/LCP2/SPON2/GZMM/VAV1/ITGAM/F12/CLPB/TNIP2/PTAFR/ANGPT1/CD300A/NCR3LG1/ZBTB1/FOXF1/SP100/DTX3L/RELB/FGR/EXOSC3/NFAM1/P2RX7/RAB20/ETS1/PRKCB/BTN2A1/TRIM22/TRIM23/SLA/CD160/CAMK4/DDX21/BTN2A2/FES/JAK1/SMCR8/RAB29/MAP2K6/FADD/CTSK/RAP1GAP2/ST6GAL1/MED1/IL27RA/LAT2/LRRC14/TGFB1/RHBDF2/PRKCE/EZR/PIK3CD/LIME1/REL/TGFBR3/IKBKE/IGSF6/HLA-B/KLRG1/BIRC2/IFIH1/PNMA1/STXBP2/B2M/MORC3/IFIT2/G3BP2/RBM14
MAYO	CBE	BP	GO:0006952	defense response	355	0.4659223761735272	3.142146576371754	1e-10	8.134615384615385e-9	5.793522267206478e-9	1064	tags=43%, list=19%, signal=37%	S100A9/S100A8/CD163/MRC1/FPR1/SERPINA1/LYZ/SOCS3/CERS6/HSP90AA1/ALOX5AP/HGF/CCL2/ADORA2A/CHI3L1/C7/CXCL1/NCF2/TLR7/PLK5/PTPRC/C1QB/OPRK1/C3AR1/PTGS2/MID2/CASP12/VSIG4/IFITM2/SERPINE1/C1QC/IFITM1/FCER1G/GPR4/CCR1/HRH1/STYK1/TLR1/ITGB2/SPP1/MNDA/PIK3AP1/S1PR3/C1QA/TLR6/COCH/BST2/CMKLR1/TAC1/CYBB/MMRN2/SIGLEC1/MPEG1/RNF19B/FOLR2/PLD4/CD84/DDIT4/KLF4/SEMA7A/HTR1A/BIRC3/ALOX5/AFAP1L2/PTGES/TRIM32/STAB1/CFI/IL4R/TLR5/OSMR/LILRB3/RORA/SPN/VAMP8/AQP4/NFKBIA/CSF3R/TRIM5/CFH/CEBPB/CHST2/SPHK1/IFITM3/CTSC/TLR4/CYBA/BCL3/SLAMF8/LY96/EPHA2/ASIC4/LAPTM5/BCL6B/ADCY7/KCNJ8/SPON2/GZMM/VAV1/ITGAM/F12/CLPB/TNIP2/PTAFR/RAB23/ZBTB1/FOXF1/SP100/DTX3L/RELB/FGR/NFAM1/P2RX7/F2R/RAB20/ETS1/TRIM22/SETD6/TRIM23/SLA/ACKR1/CD160/GPSM3/KPNA6/CAMK4/DDX21/FES/JAK1/FADD/NR1D2/ABI3/MED1/IL27RA/TGFB1/HSPG2/RHBDF2/PIK3CD/NDUFAF4/REL/IKBKE/HLA-B/KLRG1/BIRC2/IFIH1/PNMA1/ABCC9/MORC3/IFIT2/G3BP2/RBM14/CALCRL
MAYO	CBE	BP	GO:0002684	positive regulation of immune system process	188	0.49556172667953957	3.078057555948265	1e-10	8.134615384615385e-9	5.793522267206478e-9	1063	tags=48%, list=19%, signal=40%	FPR1/LYVE1/HSP90AA1/CCL2/C7/TLR7/RAC2/PTPRC/C1QB/C3AR1/HSPH1/FOXJ1/VSIG4/SERPINE1/ICAM1/ZBTB16/C1QC/FCER1G/CCR1/PLA2G4A/ITGB2/MNDA/KLHL6/C1QA/TLR6/COCH/TGFBR2/CMKLR1/PLCL2/CD84/CD86/PANX1/CDKN1A/IL15RA/SEMA7A/CFI/SASH3/IL4R/TGFB2/SPN/VAMP8/PIK3CA/MAP3K8/PVRIG/TP53BP1/TRIM5/CFH/CTSC/TLR4/PNP/LAPTM5/DUSP3/ZFP36L1/SOX4/LCP2/SPON2/VAV1/ITGAM/TNIP2/PTAFR/CD300A/ZBTB1/FOXF1/FGR/EXOSC3/NFAM1/P2RX7/PRKCB/SH3KBP1/BTN2A1/CD160/GPSM3/DDX21/BTN2A2/FES/RAB29/FADD/KITLG/MED1/IL27RA/LAT2/TGFB1/PRKCE/EZR/PIK3CD/LIME1/IKBKE/HLA-B/STXBP2/B2M/RBM14
MAYO	CBE	BP	GO:0002274	myeloid leukocyte activation	49	0.6497867215700109	3.037429268113101	1e-10	8.134615384615385e-9	5.793522267206478e-9	944	tags=69%, list=17%, signal=58%	CD93/RAC2/PTPRC/VSIG4/FCER1G/PLA2G4A/TLR1/ITGB2/C1QA/TLR6/TGFBR2/CD84/IL4R/RORA/JMJD6/VAMP8/DOCK2/SPHK1/CTSC/TLR4/LCP2/ITGAM/TNIP2/PTAFR/CD300A/FOXF1/RELB/FGR/ADGRF5/CAMK4/FES/LAT2/PRKCE/PIK3CD
MAYO	CBE	CC	GO:0009986	cell surface	155	0.5036949823499974	3.0257261915319695	1e-10	8.134615384615385e-9	5.793522267206478e-9	1053	tags=53%, list=19%, signal=44%	CD163/MRC1/HSP90AA1/GLRA1/CD93/PTPRC/SERPINA5/TNFRSF10A/ICAM1/ADGRG6/FCER1G/CCR1/THBD/CSF2RB/ITGB2/TPBG/TNFRSF10D/TGFBR2/SCN5A/HILPDA/CA4/BST2/RSPO2/FOLR2/CD84/SLC32A1/CD86/MET/KCNH1/IL15RA/SEMA7A/ABCC4/ITGA10/HSP90AB1/FAS/LRRC32/CD53/IL4R/ADGRV1/OSMR/SPN/BGN/AQP4/CSF3R/ANPEP/TLR4/SLAMF8/EPHA5/RAMP3/EPHA2/CLEC2B/PDIA4/ITGAM/ANOS1/ITGA5/KCNK2/CACNG2/P2RX7/F2R/BTN2A1/GRIN2A/BMPR2/APMAP/ADGRF5/HSPA5/GPC4/CLIC4/IL1RAPL1/BTN2A2/ACVRL1/CTSK/IL27RA/CLEC14A/TGFB1/SORT1/ABCG1/TGFBR3/KCNJ3/HLA-B/KCNB1/ITGAV/B2M
MAYO	CBE	BP	GO:0050865	regulation of cell activation	126	0.5267400422831656	3.0226720463078802	1e-10	8.134615384615385e-9	5.793522267206478e-9	913	tags=51%, list=17%, signal=43%	MMRN1/CCL2/ADORA2A/RAC2/PTPRC/HSPH1/FOXJ1/VSIG4/ZBTB16/FCER1G/THBD/PLA2G4A/ITGB2/MNDA/SAMSN1/TLR6/TGFBR2/UBASH3B/CD84/CD86/CDKN1A/IL15RA/LRRC32/SASH3/IL4R/RORA/SPN/VAMP8/PIK3CA/MAP3K8/TP53BP1/CEBPB/SPHK1/CTSC/TLR4/PNP/SLAMF8/LAPTM5/DUSP3/ZFP36L1/SOX4/VAV1/ITGAM/TNIP2/PTAFR/CD300A/ZBTB1/FOXF1/LMO1/FGR/EXOSC3/NFAM1/SH3KBP1/ADGRF5/PLEK/CD160/CAMK4/FLNA/BTN2A2/FES/FADD/KITLG/IL27RA/TGFB1
