Study	Tissue	dir	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MAYO	CBE	ora_up	BP	GO:0006457	protein folding	64/2288	191/13000	6.954691153941193e-8	3.9252276872844095e-4	3.655971328713928e-4	HSP90AA1/HSPA8/HSPA6/HSPA1A/HSP90AA2P/HSPH1/HSPA1L/PDIA6/DNAJA1/HSPB1/SACS/HSP90B2P/HSP90AB1/STIP1/DNAJB4/DNAJB1/BAG3/NPPC/RANBP2/ZMYND10/PDIA4/FKBP5/FKBP4/HSPA4/CCT5/HSPA5/CCT4/ENGASE/FUT10/HYOU1/HSPA4L/ATF6/HSPA13/B2M/HSP90B1/TCP1/AHSA1/DNAJA4/CALR/DNAJC3/PPIG/PPIF/DNAJB6/GRN/CWC27/VBP1/TOR1B/CDC37L1/P4HB/TOR1A/PPIB/TBCD/BAG5/GRPEL1/CHCHD4/PTGES3/DNAJC5/CCT3/CANX/CCT6A/DNAJB14/CCDC47/CSNK2A1/KHSRP	64
MAYO	CBE	ora_up	BP	GO:0001819	positive regulation of cytokine production	92/2288	336/13000	4.345986715589491e-6	0.01143101776590966	0.010646891477293606	HSP90AA1/HGF/CYP1B1/HSPA1A/CHI3L1/ALOX15B/TLR7/PTPRC/C3AR1/PTGS2/SERPINE1/FCER1G/TLR1/MNDA/TLR6/HILPDA/CYBB/AKAP12/CD84/CD86/PANX1/SEMA7A/HSPB1/AFAP1L2/TRIM32/SASH3/IL4R/TLR5/RORA/SPN/CEBPB/SPHK1/TLR4/CYBA/BCL3/PNP/LY96/LAPTM5/SPON2/PTAFR/FGR/NFAM1/P2RX7/F2R/CD160/GPSM3/KPNA6/DDX21/FADD/IL27RA/TGFB1/PIK3CD/IFIH1/B2M/PRKCZ/EIF2AK2/LURAP1/DDX3X/POLR3B/SETD2/HK1/ZC3HAV1/IRAK1/POLR3D/RELA/TRAF6/CADM1/CD58/ROCK2/STAT3/SOD1/GAPDH/CEBPG/TRIM27/HIF1A/AKIRIN2/POLR3C/ADAM17/DHX9/TMF1/FURIN/G3BP1/MAP3K7/PIK3R1/JAK2/STAT5B/RAB1A/DDX1/APPL1/MAPK14/SPTBN1/STOML2	92
MAYO	CBE	ora_up	BP	GO:0034504	protein localization to nucleus	77/2288	271/13000	6.076019365295709e-6	0.01143101776590966	0.010646891477293606	HSP90AA1/PTGS2/ZBTB16/CDKN1A/HSP90AB1/RANBP6/NFKBIA/BAG3/BCL3/RANBP2/ANGPT1/ECT2/RAB23/LATS2/SYNE1/SP100/DTX3L/CCT5/CCT4/KPNA6/FLNA/MED1/LIMK2/TGFB1/ELAVL1/ARL2BP/PYGO1/MORC3/TOPORS/SUN2/TPR/TCP1/SQSTM1/CALR/PARP1/ING1/KPNA2/NOLC1/SNUPN/SUMO3/DNAJB6/CSE1L/MFHAS1/CTNNA1/TOR1B/TAF3/IPO7/TARDBP/RANGAP1/STAT3/WRN/TOR1A/IPO11/NUP62/RAN/TRIM28/OSBPL8/AKIRIN2/HDGF/NUP153/FAM53C/CCT3/LMNB2/CCT6A/PIK3R1/JAK2/MEPCE/NUP50/NMD3/APPL1/MAPK14/NUP88/AKT1/KPNA3/IPO5/CIZ1/KPNB1	77
MAYO	CBE	ora_up	BP	GO:0034085	establishment of sister chromatid cohesion	10/2288	14/13000	1.4046903419104437e-5	0.013216534668294757	0.012309928407151335	STAG1/SMC3/CDCA5/SMC1A/NAA50/STAG2/WAPL/NIPBL/RAD21/RB1	10
MAYO	CBE	ora_up	BP	GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	13/2288	22/13000	1.5319356963950075e-5	0.013216534668294757	0.012309928407151335	ITGB2/KLF4/ALOX5/NFAT5/CHST2/PTAFR/ETS1/FUT9/GCNT1/IRAK1/RELA/TRAF6/RHOA	13
MAYO	CBE	ora_up	BP	GO:0061077	chaperone-mediated protein folding	26/2288	65/13000	1.726872655501253e-5	0.013216534668294757	0.012309928407151335	HSPA8/HSPA6/HSPA1A/HSPH1/HSPA1L/HSPB1/DNAJB4/DNAJB1/PDIA4/FKBP5/FKBP4/CCT5/HSPA5/CCT4/HSPA13/TCP1/DNAJB6/TOR1B/TOR1A/PPIB/PTGES3/DNAJC5/CCT3/CCT6A/DNAJB14/CSNK2A1	26
MAYO	CBE	ora_up	BP	GO:0016032	viral process	90/2288	339/13000	2.060653115911184e-5	0.013216534668294757	0.012309928407151335	MRC1/HSPA8/CCL2/HSPA1A/MID2/IFITM2/ICAM1/IFITM1/BST2/SIGLEC1/CD86/SLC1A5/TRIM32/HSP90AB1/VAMP8/TRIM5/IFITM3/ANPEP/EPHA2/RCC1/PCBP1/ITGA5/ST6GALNAC2/TRIM22/KPNA6/DEK/EIF3L/ST6GAL1/IFIH1/ITGAV/CCNK/TRIM25/VPS37D/EIF2AK2/CHMP3/NEDD4/DDX3X/ITGB1/ZC3HAV1/HCFC1/RSF1/KPNA2/HEXIM1/PVR/ADARB1/SRPK1/HACD3/RAB43/SMARCB1/PC/ATG5/CSNK1A1/CHMP5/ST6GALNAC4/TARDBP/EIF3A/LIG4/P4HB/MON1B/ITCH/ST3GAL1/MPHOSPH8/IGF2R/VTA1/NMT2/CCNT1/TRIM27/PPIB/SNX3/RAN/VCP/TRIM28/RAD23A/EIF3G/DHX9/NUP153/SRPK2/FURIN/MGAT4A/PAIP1/CANX/ADAR/WWP1/RAB1A/ZNF639/GTF2B/KPNA3/MGAT4B/TBC1D20/STAU1	90
MAYO	CBE	ora_up	BP	GO:0051052	regulation of DNA metabolic process	116/2288	461/13000	2.07756880411341e-5	0.013216534668294757	0.012309928407151335	HSP90AA1/HGF/CYP1B1/PTPRC/ID3/KLF4/CDKN1A/USP37/HSP90AB1/CCNA2/FANCB/S100A11/PIK3CA/TEX15/TP53BP1/ZBTB38/NPPC/ATRX/JADE2/SPIRE1/PRMT5/MYC/DTX3L/KCNK2/EXOSC3/CCT5/RNF169/SMC3/BMPR2/CCT4/ACTR8/DEK/ACVRL1/DPF1/IL27RA/TGFB1/GNL3L/EID3/BRPF3/HNRNPAB/FBXO5/SPIDR/ZMPSTE24/TCP1/UBQLN4/CTNNB1/PAXIP1/FIGNL1/SETD2/USP1/STN1/PARP4/USP22/PARP1/MSH6/ACTL6A/PRKDC/TAF7/KPNA2/ZNF91/MAP2K4/CHTF8/TAF6/MSH2/SMARCB1/NUDT16L1/TFIP11/DCP2/PPP4R2/WAPL/RNF8/KLHL15/ZNF830/MAGEF1/TFPT/TTF1/WRN/RAD50/ESCO1/EPC2/MBD2/MPHOSPH8/CEBPG/PARP3/TADA1/DPF3/NFRKB/SMARCA2/MECP2/SMG1/TRIM28/PTGES3/DHX9/RNF168/CTC1/NAF1/ACTR2/XRCC5/MORF4L1/CCT3/APAF1/ARRB2/CCT6A/NABP2/KAT5/USP9X/NBN/SMARCC2/YY1/GNL3/USP7/ERCC2/CUL4A/AKT1/STOML2/CIZ1	116
MAYO	CBE	ora_up	BP	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	11/2288	17/13000	2.1367968381227603e-5	0.013216534668294757	0.012309928407151335	ITGB2/ALOX5/NFAT5/CHST2/PTAFR/ETS1/GCNT1/IRAK1/RELA/TRAF6/RHOA	11
MAYO	CBE	ora_up	BP	GO:0002443	leukocyte mediated immunity	72/2288	258/13000	2.3416964330784473e-5	0.013216534668294757	0.012309928407151335	C7/RAC2/PTPRC/C1QB/FOXJ1/ICAM1/C1QC/FCER1G/CSF2RB/ITGB2/C1QA/BST2/RNF19B/CD84/CFI/SASH3/IL4R/VAMP8/TP53BP1/CTSC/TLR4/BCL3/SPON2/GZMM/VAV1/ITGAM/PTAFR/CD300A/ZBTB1/FOXF1/FGR/EXOSC3/P2RX7/CD160/DDX21/FES/FADD/IL27RA/LAT2/TGFB1/PIK3CD/HLA-B/STXBP2/B2M/TCIRG1/PRKCZ/PAXIP1/WDR1/MSH6/PRDX1/TRAF6/PVR/JAG1/DUSP22/CADM1/MSH2/CRK/RNF8/LIG4/CEBPG/PARP3/TUBB4B/ADAM17/RNF168/VAMP2/MAP3K7/ARRB2/GNL1/STAT5B/NBN/LYST/DDX1	72
