model	sex	age	dir	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
APOE4	male	4	ora_dn	BP	GO:0017038	protein import	1/2	10/19627	0.0010187707875074503	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:2000646	positive regulation of receptor catabolic process	1/2	10/19627	0.0010187707875074503	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0010872	regulation of cholesterol esterification	1/2	11/19627	0.0011206193096273687	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0033700	phospholipid efflux	1/2	11/19627	0.0011206193096273687	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0097090	presynaptic membrane organization	1/2	11/19627	0.0011206193096273687	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0034374	low-density lipoprotein particle remodeling	1/2	12/19627	0.0012224626396323268	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0090209	negative regulation of triglyceride metabolic process	1/2	12/19627	0.0012224626396323268	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:1900272	negative regulation of long-term synaptic potentiation	1/2	12/19627	0.0012224626396323268	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:1902947	regulation of tau-protein kinase activity	1/2	12/19627	0.0012224626396323268	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:1905907	negative regulation of amyloid fibril formation	1/2	12/19627	0.0012224626396323268	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0032372	negative regulation of sterol transport	1/2	13/19627	0.0013243007775225468	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0032375	negative regulation of cholesterol transport	1/2	13/19627	0.0013243007775225468	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0034375	high-density lipoprotein particle remodeling	1/2	13/19627	0.0013243007775225468	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:1902931	negative regulation of alcohol biosynthetic process	1/2	13/19627	0.0013243007775225468	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:1902950	regulation of dendritic spine maintenance	1/2	13/19627	0.0013243007775225468	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0034433	steroid esterification	1/2	14/19627	0.0014261337232986948	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0034434	sterol esterification	1/2	14/19627	0.0014261337232986948	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0034435	cholesterol esterification	1/2	14/19627	0.0014261337232986948	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0055089	fatty acid homeostasis	1/2	14/19627	0.0014261337232986948	0.014566192673671978	NA	Apoe	1
APOE4	male	4	ora_dn	BP	GO:0097113	AMPA glutamate receptor clustering	1/2	14/19627	0.0014261337232986948	0.014566192673671978	NA	Apoe	1
