"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000019969","Psen1","19164",13860.941741946,1.90739726898094,0.0432685373313059,44.0827766923586,0,0
"ENSMUSG00000030579","Tyrobp","22177",2367.09583265405,2.61215217110536,0.0749325463685906,34.8600481058828,2.99877473407574e-266,3.60827569877663e-262
"ENSMUSG00000046805","Mpeg1","17476",7073.29607759674,2.12246734630967,0.0635034592139355,33.4228618815762,6.38259599184139e-245,5.11990575145544e-241
"ENSMUSG00000032011","Thy1","21838",80423.4759261428,1.36195297097854,0.0424006477131038,32.1210416452584,2.24185417089382e-226,1.34875551556399e-222
"ENSMUSG00000022892","App","11820",271265.837776675,1.36140476348128,0.0434167255950239,31.356689036847,7.88666198272616e-216,3.7958504122861e-212
"ENSMUSG00000038642","Ctss","13040",10323.9693214518,1.69717182740518,0.0549488199796112,30.8864108098212,1.81837801180055e-209,7.29321114233004e-206
"ENSMUSG00000023992","Trem2","83433",2333.22717960363,2.62289850873782,0.0882818243347825,29.7105154826804,5.61656825700893e-194,1.93089593007028e-190
"ENSMUSG00000079293","Clec7a","56644",761.313352554905,5.1251375170363,0.173838246225465,29.482220560308,4.86643796796894e-191,1.46388537123966e-187
"ENSMUSG00000040552","C3ar1","12267",617.149238180395,2.22726351597572,0.0781799483707643,28.4889356208454,1.60622173995373e-178,4.29485846355405e-175
"ENSMUSG00000069516","Lyz2","17105",2604.92613218223,2.34470557108305,0.0847390087798975,27.6697309166459,1.61584622556947e-168,3.88853394183294e-165
"ENSMUSG00000036896","C1qc","12262",5323.30173758528,1.72355473720461,0.0670029049044553,25.7235822784454,6.36857571406368e-146,1.39327067780857e-142
"ENSMUSG00000015852","Fcrl2","80891",2769.17666218774,1.72098037711173,0.0671472901367624,25.6299304649006,7.07878242999042e-145,1.419590826481e-141
"ENSMUSG00000030789","Itgax","16411",1254.31601956732,5.87680688823315,0.229917579971219,25.5604938472683,4.19740485947014e-144,7.77004214947299e-141
"ENSMUSG00000028581","Laptm5","16792",5018.09928304368,1.59003007043777,0.0662529188534988,23.9993965240038,2.82142277539111e-127,4.84982422069907e-124
"ENSMUSG00000021665","Hexb","15212",10199.9266606689,1.38784999868004,0.0579242961867738,23.9597213957506,7.31759849555453e-127,1.1739867186368e-123
"ENSMUSG00000073418","C4b","12268",16178.9498813111,2.2881177261134,0.0957857814857569,23.8878640506121,4.09509750560687e-126,6.15928259202683e-123
"ENSMUSG00000020120","Plek","56193",2659.09320751829,1.52312956089364,0.0637790893579606,23.8813312674482,4.78791956971119e-126,6.77772261441763e-123
"ENSMUSG00000021423","Ly86","17084",1280.33471702961,1.97822150159625,0.0829789698593229,23.8400344683718,1.28480305554316e-125,1.71771030731368e-122
"ENSMUSG00000059498","Fcgr3","14131",1421.811738527,1.48705703656399,0.0636773779415949,23.352987899846,1.28511425702093e-120,1.62769866290572e-117
"ENSMUSG00000028859","Csf3r","12986",1410.53212169365,1.66945109272927,0.0715807812235161,23.3226162692509,2.61418240008997e-120,3.14551497290826e-117
"ENSMUSG00000036905","C1qb","12260",4583.04757249605,1.59408640967059,0.0683598513663345,23.3190444070456,2.84170091648491e-120,3.25645393120045e-117
"ENSMUSG00000022488","Nckap1l","105855",1785.86909312051,1.13957517939351,0.0489940154779402,23.2594770662676,1.14070375158438e-119,1.24777435372173e-116
"ENSMUSG00000068129","Cst7","13011",1734.76820653019,7.68631176057521,0.331287109910204,23.2013607853882,4.41145027280581e-119,4.61571960065529e-116
"ENSMUSG00000026395","Ptprc","19264",974.287957425938,1.74453343951281,0.0757487956910714,23.0305105658391,2.30656552825582e-117,2.31281247656151e-114
"ENSMUSG00000026177","Slc11a1","18173",679.567238124727,2.05597258044873,0.0894254336611297,22.9909154060093,5.74647590579272e-117,5.53155770691607e-114
"ENSMUSG00000026656","Fcgr2b","14130",1006.86533846491,2.33238374775211,0.102256414411179,22.8091681209695,3.71858648130593e-115,3.44183783356258e-112
